feature_set,model,return_type,cutoff,cost_bps,n_months,mean_monthly_return,nw_tstat_mean,alpha,alpha_tstat,beta,beta_tstat,model_name
flow_compustat,xgboost,gross,0.1,10.0,95,0.0199026680446638,6.775219687457787,0.021072591765864,7.635256874252099,-0.1011199466426876,-1.4087818380230968,flow_compustat__xgboost
flow_compustat,mlp,gross,0.1,10.0,95,0.0200250511200475,6.336366843941259,0.0220376127160388,6.91121161845355,-0.173951615403597,-1.6961353958569128,flow_compustat__mlp
flow_compustat,xgboost,net,0.1,10.0,95,0.0177244249189475,6.066985283113053,0.0189028277886387,6.870980041965465,-0.1018528243743285,-1.4211342423494728,flow_compustat__xgboost
flow_compustat,mlp,net,0.1,10.0,95,0.0178115737153201,5.666164817171137,0.0198172551047054,6.2380114110034075,-0.173356938919754,-1.6860569130096164,flow_compustat__mlp
return_only,xgboost,gross,0.1,10.0,95,0.0175222244025142,3.670479119715669,0.0181623782144284,4.461374841276977,-0.055330375930379,-0.4895422916718721,return_only__xgboost
return_only,xgboost,net,0.1,10.0,95,0.015021817844172,3.1554845879354607,0.0156809676889436,3.858071125230703,-0.0569722588960368,-0.5043715689191656,return_only__xgboost
return_only,mlp,gross,0.1,10.0,95,0.0130362178010514,4.411875732604919,0.0128039392976743,3.721196608759735,0.0200765139146346,0.1851157551580594,return_only__mlp
return_only,mlp,net,0.1,10.0,95,0.0102719417844601,3.4552699135575873,0.010028282306235,2.902759491272369,0.0210602050292943,0.1946524864483236,return_only__mlp
flow_compustat,elastic_net,gross,0.1,10.0,95,0.0049157208892919,1.2365810043849206,0.0070796432495828,1.9444509367494809,-0.1870341712424273,-2.547120146498681,flow_compustat__elastic_net
flow_compustat,elastic_net,net,0.1,10.0,95,0.0026634837857359,0.6680293866330577,0.0048334300133291,1.3242419779111307,-0.1875548318027303,-2.5542230296529236,flow_compustat__elastic_net
flow_compustat,ridge,gross,0.1,10.0,95,0.0020348532211317,0.6585820672787961,0.0038787650275684,1.3093640530806936,-0.1593747182845571,-3.070528035318893,flow_compustat__ridge
return_only,elastic_net,gross,0.1,10.0,95,0.0011904736391025,0.3204175682542085,0.0041410349548178,1.052267116735134,-0.2550256887731399,-3.953620015317006,return_only__elastic_net
flow_compustat,ridge,net,0.1,10.0,95,-4.582564891104516e-05,-0.0147296787750829,0.0018030018168889,0.6046316037814995,-0.1597995931747108,-3.081862544710076,flow_compustat__ridge
return_only,elastic_net,net,0.1,10.0,95,-0.0014677142782223,-0.3962872877577335,0.0015054757845007,0.3843128583066343,-0.2569815579025143,-3.9870962945565815,return_only__elastic_net
return_only,ridge,gross,0.1,10.0,95,-0.0030475835440974,-0.5968327685354821,0.0011980280898492,0.2037382058416255,-0.3669606950527067,-3.8391597271935543,return_only__ridge
return_only,ridge,net,0.1,10.0,95,-0.005342435586205,-1.0600641376274995,-0.001087068718551,-0.1864208482243206,-0.3678038685811051,-3.8588849876610767,return_only__ridge
