feature_set,model,regime_scheme,regime,n_months,mean_gross_return,mean_net_return,net_sharpe,avg_turnover,hit_rate,newey_west_tstat_mean_net,alpha,beta,alpha_tstat,model_name
flow_compustat,mlp,trend,bear,14,0.0425570372821896,0.0400540067219936,3.4084265655439197,2.5030305601959992,0.8571428571428571,5.287837356794863,0.0381880200398323,-0.2150798490894827,7.909086438231622,flow_compustat__mlp
flow_compustat,elastic_net,trend,bear,14,0.0408723259824891,0.0386913505059919,2.9017047350440706,2.180975476497143,0.9285714285714286,4.693429831570275,0.0357743531748917,-0.3362228421913391,7.469489934300821,flow_compustat__elastic_net
flow_compustat,ridge,trend,bear,14,0.0282886665895854,0.0263433910659459,2.6763135613421176,1.9452755236395003,0.8571428571428571,5.224262652399471,0.0245358056250342,-0.2083483272224278,7.450393160098858,flow_compustat__ridge
flow_compustat,mlp,vol,high_vol,52,0.0267422019144412,0.024469884177468,2.5588437321816206,2.272317736973224,0.8653846153846154,6.958692043743885,0.0266725765069832,-0.2117617063970217,7.805463680534643,flow_compustat__mlp
flow_compustat,mlp,dispersion,low_dispersion,47,0.0170544423532999,0.0148502924690639,2.2855941201374788,2.2041498842359912,0.6808510638297872,3.324631247430137,0.0153655897736809,-0.0375509499258105,3.479553459432332,flow_compustat__mlp
flow_compustat,xgboost,dispersion,high_dispersion,48,0.0292896242654394,0.0271335076610865,2.2728397553809354,2.156116604352945,0.7708333333333334,5.4006158630711845,0.0284124823206059,-0.1351758400918968,6.321656546382185,flow_compustat__xgboost
flow_compustat,mlp,period,2020-2024,59,0.0251480144993427,0.0229138224589167,2.231818848845842,2.2341920404260525,0.8135593220338984,6.342151393125435,0.0252875167739728,-0.1975901754963622,7.827457017840329,flow_compustat__mlp
flow_compustat,xgboost,vol,high_vol,52,0.0279003648827044,0.0256953376367168,2.2292033196623535,2.205027245987607,0.7692307692307693,7.133522304911063,0.0266007087597235,-0.0870402694745318,8.032741629639284,flow_compustat__xgboost
flow_compustat,mlp,period,2017-2019,36,0.011629083359536,0.0094495549410925,1.9810069116247544,2.179528418443465,0.6388888888888888,4.217243449687944,0.0104282733258144,-0.0902650058410606,4.298281539149163,flow_compustat__mlp
flow_compustat,mlp,dispersion,high_dispersion,48,0.0229337722041546,0.0207111616022794,1.9618777009671549,2.222610601875213,0.8125,6.848703754174361,0.0230822220926151,-0.2505992525373777,6.8383675925191785,flow_compustat__mlp
flow_compustat,xgboost,trend,bear,14,0.0361112367066249,0.0339235101111059,1.951721228524175,2.187726595518973,0.6428571428571429,3.57854740001551,0.0316614526486361,-0.2607322883442218,3.9817351657889706,flow_compustat__xgboost
flow_compustat,xgboost,trend,bull,81,0.0171011870413619,0.0149245830338831,1.8629182857780653,2.176604007478802,0.7037037037037037,5.285808986001732,0.0144640919155025,0.030559087604179,5.992870155909649,flow_compustat__xgboost
flow_compustat,xgboost,period,2020-2024,59,0.0234722361968625,0.0213221507946745,1.8430518846583248,2.1500854021879365,0.6949152542372882,6.302441675601472,0.0227000922758697,-0.1147020900568757,7.815275346135788,flow_compustat__xgboost
flow_compustat,xgboost,period,2017-2019,36,0.0140525424618937,0.0118281519559504,1.8125746969976928,2.2243905059433424,0.6944444444444444,4.080172849963913,0.0124705189846198,-0.0592440731676125,4.394810596724519,flow_compustat__xgboost
flow_compustat,mlp,trend,bull,81,0.0161306337586896,0.0139672025783642,1.8077477401969095,2.163431180325405,0.7283950617283951,4.81115217734124,0.0154474957984532,-0.0982351415411928,5.799605405293264,flow_compustat__mlp
return_only,mlp,dispersion,high_dispersion,48,0.0198618904743616,0.0171049258684828,1.6948887825416912,2.7569646058788764,0.7291666666666666,5.8481298232626715,0.0162177204566577,0.0937694394372042,4.507747365494563,return_only__mlp
return_only,xgboost,vol,high_vol,52,0.0256959871155074,0.0231708938136861,1.6689215968957685,2.5250933018212667,0.6538461538461539,2.956273024879831,0.0234423500271724,-0.0260971676387417,3.433795099906648,return_only__xgboost
return_only,xgboost,dispersion,high_dispersion,48,0.0261266786186183,0.0236598621004109,1.6604730146577498,2.466816518207436,0.6666666666666666,2.7368463056068,0.0240825876453431,-0.0446781961153031,3.1363791372305743,return_only__xgboost
return_only,xgboost,trend,bull,81,0.0177892656886192,0.0152989111985586,1.543564857251733,2.4903544900606134,0.6296296296296297,2.9727278575109324,0.0144563644958913,0.0559130403816962,3.471166289609257,return_only__xgboost
return_only,mlp,period,2020-2024,59,0.0173908598194369,0.0145998998490446,1.494793494382267,2.790959970392288,0.6610169491525424,5.782629494249917,0.0140072044353482,0.0493369302295338,3.847499149121607,return_only__mlp
return_only,mlp,trend,bull,81,0.0135094305805391,0.0108049433083094,1.45898453023463,2.704487272229781,0.6419753086419753,2.9364968057846617,0.0106313761290045,0.0115182561093505,2.9015637867528214,return_only__mlp
return_only,elastic_net,trend,bear,14,0.0339665940122009,0.0315254435572661,1.4369003753081295,2.441150454934775,0.6428571428571429,2.6833337431696385,0.0266946269514576,-0.5568160354461049,3.6959019282471113,return_only__elastic_net
return_only,xgboost,period,2020-2024,59,0.0218787995611602,0.0193949126145432,1.4155826381523888,2.4838869466170865,0.6440677966101694,2.833377931712582,0.0200443362849183,-0.0540590825815229,3.4752861920515734,return_only__xgboost
return_only,xgboost,period,2017-2019,36,0.0103822817813998,0.0078548014149527,1.3643130922902935,2.5274803664471137,0.5555555555555556,3.2195745634328556,0.0086688305125848,-0.0750760815364052,3.456081889657471,return_only__xgboost
flow_compustat,mlp,vol,low_vol,43,0.0119019850431063,0.0097596633890018,1.3610593220028326,2.1423216541045154,0.6046511627906976,3.547037673804337,0.0094887848621151,0.0208656633522342,4.145712258073,flow_compustat__mlp
return_only,mlp,vol,high_vol,52,0.0157308979732711,0.0128740884212169,1.3323398475859187,2.8568095520542105,0.6346153846153846,3.3763275724728103,0.0127866549377122,0.0084056513091299,2.8375440932432645,return_only__mlp
flow_compustat,xgboost,dispersion,low_dispersion,47,0.0103159893511057,0.0081151489269757,1.228604988083435,2.200840424129941,0.6170212765957447,3.983776000200552,0.008410657993456,-0.0215344541075556,4.3393367579797895,flow_compustat__xgboost
flow_compustat,xgboost,vol,low_vol,43,0.0102310346591263,0.0080851816323427,1.1610387917875993,2.1458530267835587,0.6046511627906976,4.185206385508315,0.0098980279713451,-0.1396428201736992,5.233417726589513,flow_compustat__xgboost
return_only,mlp,vol,low_vol,43,0.0097775348020881,0.0071251598051263,0.993900157118994,2.6523749969617185,0.627906976744186,1.911521413271258,0.005997665931261,0.0868503970180768,1.877025224131906,return_only__mlp
return_only,xgboost,dispersion,low_dispersion,47,0.0087346966924504,0.0061999854122685,0.9068407518542682,2.5347112801818565,0.5531914893617021,2.3049402761466817,0.0069500222183142,-0.0546569801432759,2.4240065709383223,return_only__xgboost
